result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_100000,usr_1000,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,0,,45224442;44620727;45077780;45005790;44841772;45017137;45010170;45194899;44041264;44753361,45076045;44851752;44825353;45093806;45152695;45171748;45093729;45067608;45268389;45124353
rs_100001,usr_1000,nhà đất Xã Tân Vĩnh Lộc giá mềm cho gia đình,0,,45077780;44620727;45078935;43530901;45010170;44897223;45236270;45217838;45228729;45207388,45093806;45105861;45237769;45037091;45067608;45157462;45171748;43928437;45076045;44568568
rs_100002,usr_1000,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, sang trọng",0,,43381561;43530901;43821501;45218235;44948688;45210229;45217838;45235813;45205834;44244182,45105861;45268389;45124353;45171748;45067608;45093806;44568685;44823332;45037091;44754807
rs_100003,usr_1000,nhà đất Xã Tân Vĩnh Lộc rẻ một chút cho gia đình,1,45171748,45077780;44841772;45081886;44864335;44815299;45171748;45207388;45236710;45244241;43903476,45093806;45105861;45237769;45037091;45171748;43928437;45067608;45076045;45157462;45268389
rs_100004,usr_1000,tìm nhà đất Xã Hiệp Phước rẻ một chút gần trường học,0,,44945779;44620331;43821501;44845494;45236270;45262776;45255987;45198154;45207388;45205834,44823332;43931812;45076045;45093806;45124353;44754807;45037091;45171748;45067608;43928437
rs_100005,usr_1000,nhà đất Phường Bảy Hiền bình dân cho gia đình,0,,45215996;44620727;45200975;43821501;45114247;44843875;45017137;45010170;45162235;45145693,45124353;45093806;45237769;45067608;45152695;45171748;45076045;45268389;43928437;45037091
rs_100006,usr_1001,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho vợ chồng mới cưới,0,,44796007;43349917;44562715;45010170;44753361;44845494;44864335;45179775;45244830;45153043,45081807;45081962;45088647;44690504
rs_100007,usr_1001,"cần mua căn hộ 2 phòng ngủ ở Xã Tân Nhựt để ở, bình dân",0,,45017137;44948688;44864335;45222811;45244830;44748012;44762845;44786591;45210408;43478669,44723700
rs_100008,usr_1001,tìm căn hộ Phường Tăng Nhơn Phú giá tốt gần trường học,1,43537036,43537036;44843875;44863961;45215996;44748012;44762845;44786591;43926137;44880200;45075183,43537036;43349917;44422861;44046077;44531634
rs_100009,usr_1001,tìm căn hộ Phường Tăng Nhơn Phú rẻ một chút gần trường học,3,44422861;43349917;43537036,44422861;43349917;43537036;44967290;44562715;44843875;45194899;44845848;44783081;44845494,43537036;43349917;44422861;44046077;44531634
rs_100010,usr_1001,căn hộ Xã Tân Nhựt rẻ một chút cho gia đình,0,,45162235;44948688;44753361;44864335;44845848;45211193;43530901;43478669;44904039;45095425,45081807;45081962;45088647;44690504
rs_100011,usr_1002,căn hộ Phường Long Bình bình dân dòng tiền tốt,1,43317425,43715977;45219182;43317425;43241856;44239561;43725380;43768536;44404341;45145693;43344418,43692251;45039157;45138926;43825788;43716231;45222670;45222670;43317425;43569738;44731068
rs_100012,usr_1002,căn hộ Phường Long Bình rẻ một chút cho thuê lại được,1,44403119,44403119;43339881;44239561;43880424;43589492;43202640;44988147;45145693;44241249;45115150,44143992;43825788;44403119;44130737;44238591;43317425;45222670;45222670;43284851;43537623
rs_100013,usr_1002,căn hộ Phường Long Bình giá rẻ cho thuê lại được,1,43436120,43339881;44404341;45188401;45157429;45115150;43436120;43679734;43537623;45211549;44463660,45138926;45219725;44403119;44143992;45222670;45222670;45219753;45266104;43436120;43284841
