listing_id,title,property_type,district,address,city_province,latitude,longitude,geohash_6,geohash_7,geo_cluster_150m,price_billion,area_sqm,bedrooms,bathrooms,budget_group,price_tier_area,description,balcony,garden,garage,terrace,pool,gym,park,bbq,kids_playground,sports_court,security_24h,reception,elevator,parking,near_metro,near_bus,near_highway,near_school,near_hospital,near_mall,near_market,near_park,river_view,park_view,city_view
45222670,"Còn sót căn góc 2PN 69m2-Beverly Solari, giá tốt hơn thị trường 300tr, sẵn sổ (nhà thật, hình thật)",Căn hộ,Phường Long Bình,"The Beverly Solari - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Bình, Hồ Chí Minh",Hồ Chí Minh,10.843803,106.845616,w3gvxq,w3gvxq4,G0835,3.95,69.0,2,2,mid_range,mid,,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False
41003332,Lì Xì Lộc Phát lên đến 680tr cho căn 3PN - 2WC của dự án Phú Đông Sky Garden,Căn hộ,Phường Dĩ An,"Phú Đông Sky Garden, Đường An Bình, Phường Dĩ An, Hồ Chí Minh",Hồ Chí Minh,10.872697,106.753536,w3gvv5,w3gvv5r,G0956,4.28,104.0,3,2,mid_range,premium,,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False
44850086,Empire City - bán căn 1PN - đúng gu người độc thân cao cấp thành đạt - view sông được săn đón nhất,Căn hộ,Phường An Khánh,"Empire City Thủ Thiêm, Đường Mai Chí Thọ, Phường An Khánh, Hồ Chí Minh",Hồ Chí Minh,10.769789,106.71607,w3gvk2,w3gvk2s,G0351,14.2,64.0,1,1,luxury,mid,,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False
45225431,"Giá 32.1 tỷ all in duy nhất một căn 2PN 87m2 view trực diện sông Sài Gòn, cầu Ba Son, pháo hoa",Căn hộ,Phường Sài Gòn,"Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Sài Gòn, Hồ Chí Minh",Hồ Chí Minh,10.778643,106.705838,w3gvk4,w3gvk4h,G0405,32.1,87.0,2,2,luxury,mid,,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False
43489295,"Chủ bán gấp căn hộ trệt dự án Jamona City, Q7, 181m2, 7.05 tỷ. Tầng 1 ở, tầng 2 đang cho thuê 20tr",Căn hộ,Phường Phú Thuận,"Jamona City, Đường Đào Trí, Phường Phú Thuận, Hồ Chí Minh",Hồ Chí Minh,10.735712,106.740179,w3gvhf,w3gvhfm,G0144,7.05,181.0,2,2,mid_range,mid,,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
44335474,"Bán gấp căn 2PN 2WC Eco Green Sài Gòn, DT 67m2, hướng mát, view thoáng, giá chỉ 6,2 tỷ",Căn hộ,Phường Tân Thuận,"Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận, Hồ Chí Minh",Hồ Chí Minh,10.750265,106.723343,w3gvht,w3gvht1,G0210,6.2,67.0,2,2,mid_range,cheap,,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
45260467,"Bán căn hộ 2PN 2WC sổ hồng sẵn tầng cao, ban công Đông Nam mát mẻ",Căn hộ,Phường Hòa Hưng,"HaDo Centrosa Garden, Đường 3/2, Phường Hòa Hưng, Hồ Chí Minh",Hồ Chí Minh,21.028949,105.852447,w3gv73,w3gv73z,G0394,10.6,87.0,2,2,luxury,cheap,,True,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
45197258,Cực hiếm căn hộ quận 4 80m2 sử dụng dòng tiền 132tr/năm,Căn hộ,Phường Xóm Chiếu,"Đường Nguyễn Tất Thành, Phường Xóm Chiếu, Hồ Chí Minh",Hồ Chí Minh,10.758519,106.715215,w3gvhq,w3gvhqe,G0264,3.2,44.0,3,3,mid_range,cheap,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
45059973,"Chính chủ bán căn góc 3PN 104m², 2 ban công, 3WC mặt tiền kè Văn Thánh, gần Thảo Cầm Viên, giáp Q",Căn hộ,Phường Thạnh Mỹ Tây,"Chung cư Mỹ Đức, Đường Xô Viết Nghệ Tĩnh, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Hồ Chí Minh,10.798521,106.713256,w3gvkm,w3gvkmf,G0585,6.6,104.0,3,3,mid_range,mid,,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False
45229051,Chuyển nhượng căn 2PN 2WC 55m2 tầng trung view đẹp Saigon Intela,Căn hộ,Xã Bình Hưng,"Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Bình Hưng, Hồ Chí Minh",Hồ Chí Minh,10.709362,106.64224,w3guft,w3guftw,G0094,2.38,55.0,2,2,affordable,cheap,,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
