result_set_id,user_id,session_id,timestamp,algorithm_version,raw_query,inferred_intent,budget_group,filter_district,filter_price_max,filter_bedrooms,listing_id,retrieval_rank,score,matched_features,partial_match_features,llm_chosen,llm_rank,explanation,comparison,model_name
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45224442,0,0.714,near_school,,1,0.0,"Đúng loại nhà đất theo nhu cầu, tại Phường Thới Hòa, giá 2.35 tỷ nằm trong ngân sách, 4 phòng ngủ, diện tích 80 m2, có gần trường học.","So với hai căn còn lại, căn này nhiều phòng ngủ nhất.",claude-agent-rerank
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44620727,1,0.718,near_school,,1,1.0,"Đúng loại nhà đất theo nhu cầu, tại Xã Bình Lợi, giá 2.2 tỷ nằm trong ngân sách, 2 phòng ngủ, diện tích 115.9 m2, có gần trường học.","So với hai căn còn lại, căn này giá tốt nhất nhóm; diện tích rộng nhất.",claude-agent-rerank
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45077780,2,0.712,near_school,,1,2.0,"Đúng loại nhà đất theo nhu cầu, tại Xã Tân Vĩnh Lộc, giá 2.3 tỷ nằm trong ngân sách, 2 phòng ngủ, diện tích 56.8 m2, có gần trường học.","So với hai căn còn lại, căn này vẫn đáp ứng đủ ràng buộc và bổ sung thêm lựa chọn tương đương cho khách.",claude-agent-rerank
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45005790,3,0.663,near_school,kids_playground~park,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44841772,4,0.638,near_school|kids_playground,,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45017137,5,0.641,near_school|kids_playground,,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45010170,6,0.636,near_school|kids_playground,,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45194899,7,0.637,near_school|kids_playground,,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44041264,8,0.6,near_school,,0,,,,
rs_100000,usr_1000,sess_1000_0,2026-02-10T04:01:10Z,claude_rerank_v2,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44753361,9,0.6,near_school|kids_playground,,0,,,,
